Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned
31406,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31407,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31408,O,227,209,189,188,516,693
31409,50,229,228,228,190,O,654
31412,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31413,213,213,213,233,231,484,O
31415,289,289,289,289,289,587,O
31416,93,O,19,26,22,878,884
31417,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31418,223,223,223,223,223,O,726
31419,20,20,67,20,21,O,650
31424,O,72,72,77,77,O,448
31425,212,212,212,212,212,O,697
31428,55,10,12,102,O,502,658
31429,O,96,130,O,130,O,661
31430,283,304,304,283,283,O,703
31431,15,15,15,14,14,406,O
31432,51,51,51,33,99,O,635
31433,384,384,O,372,384,385,385
31437,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31438,205,205,205,205,I-DK,O,O
31440,335,335,335,335,335,605,O
31441,139,139,139,139,139,O,O
31442,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
31443,77,77,77,O,85,453,671
31447,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31448,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31449,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31451,178,177,177,224,224,511,O
31452,I-GO,I-GO,I-GO,310,181,496,709
31453,I-BP,I-BP,I-BP,I-BP,I-BP,O,O
31454,53,58,39,79,58,Oz,Oz
31455,394,394,394,394,394,Oz,Oz
31457,393,393,393,393,393,Oz,Oz
31458,134,162,134,134,134,O,O
31459,337,192,Oz,Oz,320,575,706
31461,12,12,10,O,101,440,O
31462,166,194,179,179,185,Oz,Oz
31463,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31465,180,180,180,180,180,O,702
31466,71,130,Oz,39,39,419,Oz
31467,140,140,140,140,140,O,O
31468,135,135,135,135,135,O,O
31469,341,264,316,334,O,798,688
31470,I-GO,I-GO,I-GO,307,311,572,805
31471,279,284,279,281,281,571,O
31472,232,233,232,237,237,536,O
31473,I-GO,I-GO,I-GO,I-GO,I-GO,566,760
31474,391,391,391,391,391,Oz,Oz
31475,170,235,233,O,98,403,O
31476,226,242,189,230,230,517,O
31478,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31479,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31480,75,75,75,75,75,O,O
31481,I-GO,I-GO,I-GO,I-GO,O,427,666
31482,278,278,O,278,278,492,O
31483,159,159,159,159,O,519,692
31484,221,123,31,123,116,Oz,Oz
31490,I-GO,230,246,338,264,522,O
31495,248,199,Oz,217,226,512,687
31496,191,Oz,132,226,166,505,O
31497,396,396,396,396,396,Oz,Oz
31498,I-DK,115,300,162,162,477,O
31499,329,329,Oz,880,880,879,O
31514,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31516,176,176,Oz,176,232,487,699
31517,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
31518,230,166,123,163,159,192,O
31519,57,O,378,103,124,446,O
31520,271,271,271,271,271,O,O
31521,392,392,392,392,392,Oz,Oz
31524,129,129,129,129,129,Oz,O
31525,171,879,879,O,O,534,799
31617,186,186,186,186,186,Oz,707
32040,13,O,O,99,12,432,646
32041,O,310,230,182,248,503,690
32064,239,239,Oz,239,239,529,O
32065,246,246,299,183,246,473,O
32067,225,173,176,O,176,509,715
