brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
239,168,1,S.M.,10:50,17:15,S.M.
240,168,2,S.M.,11:20,17:40,S.M.
241,172,1,ČRN.,10:36,17:25,ČRN.
242,172,2,ČRN.,12:10,18:40,GAR.
243,172,6,ČRN.,11:04,18:02,ČRN.
244,172,7,ČRN.,12:36,19:25,GAR.
245,172,9,ČRN.,11:30,18:15,GAR.
246,172,10,ČRN.,13:04,19:55,ČRN.
247,174,1,ZAPR.,11:15,17:45,ZAPR.
248,176,1,ČRN.,10:50,16:10,ČRN.
249,176,3,ČRN.,15:00,21:10,GAR.
250,182,1,ZAPR.,11:15,17:50,ZAPR.
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,101,1,BR.T.,18:00,00:19,GAR.
256,102,1,BR.T.,18:00,00:25,GAR.
257,102,2,BR.T.,17:30,00:20,GAR.
258,102,3,BR.T.,17:35,23:55,GAR.
259,105,1,KAPT.,17:15,23:40,GAR.
260,109,1,ČRN.,17:01,23:20,GAR.
261,109,3,ČRN.,18:55,00:20,GAR.
262,109,7,ČRN.,17:47,23:50,GAR.
263,109,9,ČRN.,17:59,00:05,GAR.
264,109,10,ČRN.,16:41,23:41,GAR.
265,109,11,ČRN.,16:51,23:51,GAR.
266,110,2,S.M.,19:10,01:50,GAR.
267,110,3,S.M.,18:00,00:44,GAR.
268,111,1,S.M.,15:35,21:50,S.M.
269,112,2,S.M.,15:50,21:55,S.M.
269,112,2,S.M.,22:25,23:45,GAR.
270,112,3,S.M.,17:10,23:30,GAR.
271,113,1,LJUB.,15:10,21:30,LJUB.
271,113,1,LJUB.,22:00,23:28,GAR.
272,114,1,LJUB.,18:30,01:05,GAR.
273,115,1,LJUB.,18:03,00:15,GAR.
274,115,2,LJUB.,18:14,00:35,GAR.
275,115,3,LJUB.,18:25,01:15,GAR.
276,115,4,LJUB.,16:45,23:16,GAR.
277,116,1,LJUB.,17:10,23:10,GAR.
278,116,2,LJUB.,16:30,22:45,GAR.
279,118,2,T.M.,17:07,23:40,GAR.
280,118,3,T.M.,17:57,23:55,GAR.
281,118,5,T.M.,18:09,01:09,GAR.
282,119,1,ČRN.,17:45,00:41,GAR.
283,120,1,ČRN.,17:40,00:15,GAR.
284,120,3,ČRN.,17:00,23:45,GAR.
285,121,1,ČRN.,17:45,00:35,GAR.
286,121,2,ČRN.,18:05,00:55,GAR.
287,123,1,ČRN.,17:00,23:49,GAR.
288,123,2,ČRN.,17:30,00:17,GAR.
289,124,1,ČRN.,17:50,23:45,GAR.
290,125,1,ČRN.,17:40,00:40,GAR.
291,125,2,ČRN.,18:00,01:00,GAR.
292,126,1,ČRN.,17:50,00:50,GAR.
293,126,2,ČRN.,18:10,00:30,GAR.
294,127,1,ČRN.,17:20,00:20,GAR.
295,127,2,ČRN.,17:40,00:40,GAR.
296,128,1,ČRN.,17:45,00:45,GAR.
297,128,4,ČRN.,18:20,00:35,GAR.
298,129,1,KUNIŠ,18:05,01:05,GAR.
299,130,1,ČRN.,15:15,22:05,ČRN.
300,130,2,ČRN.,14:40,21:30,GAR.
301,131,1,ČRN.,17:45,00:05,GAR.
302,132,1,S.M.,17:30,00:22,GAR.
